## Table 1 from Kormendy+09
# 1 galaxy
# 2 dist [Mpc]
# 3 n
# 4 n_err_up
# 5 n_err_lo
# 6 mue [V-band, mag/arcsec^2]
# 7 mue_err_up
# 8 mue_err_lo
# 9 logre [kpc]
# 10 logre_err_up
# 11 logre_err_lo
NGC4472       17.14      5.99 0.31 0.29       23.37 0.17 0.14   1.350 0.037 0.031
NGC4486       17.22     11.84 1.79 1.19       25.71 0.54 0.32   1.769 0.110 0.068
NGC4649       17.30      5.36 0.38 0.32       22.41 0.18 0.15   1.044 0.037 0.032
NGC4406       16.83     10.27 0.49 0.35       27.63 0.41 0.30   2.281 0.103 0.072
NGC4365       23.33      7.11 0.40 0.35       23.80 0.16 0.15   1.319 0.033 0.030
NGC4374       18.45      7.98 0.71 0.56       23.09 0.27 0.20   1.104 0.055 0.043
NGC4261       31.6       7.49 0.82 0.60       23.26 0.31 0.23   1.185 0.064 0.048
NGC4382       17.86      6.12 0.31 0.27       22.80 0.17 0.16   1.048 0.033 0.031
NGC4636       14.7       5.65 0.48 0.38       24.42 0.35 0.27   1.379 0.078 0.061
NGC4552       15.85      9.22 1.13 0.83       23.72 0.44 0.34   1.027 0.094 0.073
NGC4621       14.93      5.36 0.30 0.28       22.03 0.14 0.13   0.733 0.026 0.024
NGC4459       16.07      3.17 0.34 0.27       21.45 0.10 0.10   0.525 0.019 0.020
NGC4473       15.28      4.00 0.18 0.16       21.63 0.20 0.19   0.584 0.034 0.031
NGC4478       16.98      2.07 0.08 0.07       19.95 0.05 0.05   0.044 0.009 0.009
NGC4434       22.39      3.34 0.20 0.18       20.65 0.10 0.09   0.069 0.016 0.017
NGC4387       17.95      2.03 0.06 0.06       20.59 0.04 0.04   0.097 0.007 0.007
NGC4551       16.14      1.98 0.06 0.06       20.75 0.04 0.04   0.084 0.008 0.008
NGC4458       16.37      2.53 0.14 0.13       21.66 0.05 0.05   0.168 0.010 0.010
NGC4486A      18.28      2.04 0.15 0.13       19.54 0.10 0.12  -0.208 0.022 0.023
NGC4515       16.60      3.36 1.42 0.67       21.64 0.50 0.89   0.058 0.089 0.161
NGC4464       15.85      2.45 0.08 0.08       19.86 0.06 0.06  -0.252 0.011 0.011
NGC4486B      16.29      2.20 0.13 0.11       18.40 0.11 0.11  -0.704 0.020 0.021
IC3653 	      15.49      1.73 0.09 0.09       20.73 0.06 0.06  -0.296 0.011 0.011
NGC4467       16.53      1.91 0.05 0.05       20.51 0.03 0.03  -0.406 0.005 0.005
IC0798 	      16.00      3.37 0.19 0.16       22.14 0.12 0.10  -0.187 0.023 0.020
VCC1627       15.63      2.13 0.08 0.08       20.51 0.04 0.04  -0.552 0.007 0.007
VCC1199       16.53      1.90 0.05 0.05       20.14 0.04 0.04  -0.775 0.007 0.008
NGC4482       18.11      1.40 0.06 0.06       22.33 0.04 0.04   0.337 0.008 0.008
IC3381 	      16.67      1.54 0.07 0.07       22.73 0.08 0.07   0.248 0.015 0.014
IC3442 	      16.90      1.45 0.05 0.05       23.97 0.07 0.06   0.402 0.013 0.012
IC0809 	      16.07      1.41 0.03 0.03       21.87 0.03 0.03  -0.024 0.004 0.004
IC3470 	      16.14      1.49 0.04 0.03       21.68 0.03 0.03  -0.112 0.005 0.005
IC3509 	      16.83      2.73 0.05 0.05       23.05 0.05 0.05   0.094 0.008 0.009
IC3461 	      16.75      1.82 0.12 0.11       23.01 0.09 0.08   0.050 0.014 0.014
IC3635 	      16.83      1.63 0.12 0.11       23.67 0.07 0.07   0.214 0.013 0.011
VCC1185       16.90      1.50 0.04 0.04       24.03 0.04 0.04   0.179 0.006 0.006
IC3490        16.53      1.12 0.03 0.03       23.58 0.04 0.04   0.102 0.006 0.066
